Size,Runtime
5090,0.000050
5100,0.000050
5110,0.000060
5120,0.000050
5130,0.000050
5140,0.000050
5150,0.000050
5160,0.000050
5170,0.000050
5180,0.000050
5190,0.000050
5200,0.000040
5210,0.000050
5220,0.000050
5230,0.000040
5240,0.000040
5250,0.000040
5260,0.000050
5270,0.000040
5280,0.000050
5290,0.000050
5300,0.000040
5310,0.000040
5320,0.000050
5330,0.000060
5340,0.000060
5350,0.000050
5360,0.000060
5370,0.000070
5380,0.000050
5390,0.000050
5400,0.000050
5410,0.000050
5420,0.000050
5430,0.000050
5440,0.000050
5450,0.000050
5460,0.000050
5470,0.000050
5480,0.000050
5490,0.000060
5500,0.000050
5510,0.000050
5520,0.000050
5530,0.000050
5540,0.000050
5550,0.000050
5560,0.000060
5570,0.000060
5580,0.000050
5590,0.000060
5600,0.000060
5610,0.000050
5620,0.000050
5630,0.000050
5640,0.000050
5650,0.000050
5660,0.000050
5670,0.000060
5680,0.000050
5690,0.000060
5700,0.000050
5710,0.000050
5720,0.000060
5730,0.000060
5740,0.000050
5750,0.000060
5760,0.000050
5770,0.000050
5780,0.000060
5790,0.000060
5800,0.000050
5810,0.000050
5820,0.000050
5830,0.000060
5840,0.000050
5850,0.000050
5860,0.000070
5870,0.000060
5880,0.000060
5890,0.000080
5900,0.000050
5910,0.000060
5920,0.000060
5930,0.000060
5940,0.000050
5950,0.000070
5960,0.000080
5970,0.000070
5980,0.000060
5990,0.000060
6000,0.000060
6010,0.000060
6020,0.000050
6030,0.000050
6040,0.000060
6050,0.000050
6060,0.000060
6070,0.000050
6080,0.000050
6090,0.000090
6100,0.000060
6110,0.000050
6120,0.000060
6130,0.000060
6140,0.000060
6150,0.000060
6160,0.000060
6170,0.000060
6180,0.000060
6190,0.000060
6200,0.000060
6210,0.000060
6220,0.000060
6230,0.000060
6240,0.000060
6250,0.000100
6260,0.000120
6270,0.000080
6280,0.000090
6290,0.000080
6300,0.000070
6310,0.000060
6320,0.000100
6330,0.000150
6340,0.000110
6350,0.000090
6360,0.000080
6370,0.000070
6380,0.000080
6390,0.000070
6400,0.000060
6410,0.000060
6420,0.000060
6430,0.000060
6440,0.000060
6450,0.000060
6460,0.000070
6470,0.000060
6480,0.000070
6490,0.000070
6500,0.000070
6510,0.000080
6520,0.000070
6530,0.000060
6540,0.000100
6550,0.000060
6560,0.000070
6570,0.000070
6580,0.000080
6590,0.000070
6600,0.000070
6610,0.000070
6620,0.000070
6630,0.000060
6640,0.000070
6650,0.000090
6660,0.000070
6670,0.000090
6680,0.000090
6690,0.000070
6700,0.000060
6710,0.000060
6720,0.000090
6730,0.000080
6740,0.000070
6750,0.000070
6760,0.000080
6770,0.000070
6780,0.000070
6790,0.000070
6800,0.000060
6810,0.000070
6820,0.000070
6830,0.000060
6840,0.000070
6850,0.000110
6860,0.000070
6870,0.000080
6880,0.000070
6890,0.000070
6900,0.000070
6910,0.000070
6920,0.000080
6930,0.000060
6940,0.000070
6950,0.000070
6960,0.000070
6970,0.000080
6980,0.000070
6990,0.000070
7000,0.000070
7010,0.000070
7020,0.000070
7030,0.000070
7040,0.000070
7050,0.000100
7060,0.000100
7070,0.000090
7080,0.000080
7090,0.000080
7100,0.000080
7110,0.000080
7120,0.000070
7130,0.000080
7140,0.000100
7150,0.000120
7160,0.000080
7170,0.000070
7180,0.000070
7190,0.000080
7200,0.000070
7210,0.000070
7220,0.000070
7230,0.000070
7240,0.000080
7250,0.000070
7260,0.000080
7270,0.000090
7280,0.000080
7290,0.000070
7300,0.000080
7310,0.000080
7320,0.000080
7330,0.000080
7340,0.000080
7350,0.000080
7360,0.000070
7370,0.000080
7380,0.000080
7390,0.000080
7400,0.000080
7410,0.000090
7420,0.000130
7430,0.000100
7440,0.000080
7450,0.000080
7460,0.000080
7470,0.000070
7480,0.000070
7490,0.000070
7500,0.000080
7510,0.000080
7520,0.000080
7530,0.000070
7540,0.000080
7550,0.000070
7560,0.000090
7570,0.000090
7580,0.000090
7590,0.000070
7600,0.000080
7610,0.000080
7620,0.000080
7630,0.000080
7640,0.000080
7650,0.000080
7660,0.000080
7670,0.000070
7680,0.000110
7690,0.000080
7700,0.000080
7710,0.000090
7720,0.000080
7730,0.000090
7740,0.000090
7750,0.000080
7760,0.000080
7770,0.000120
7780,0.000100
7790,0.000100
7800,0.000100
7810,0.000070
7820,0.000090
7830,0.000090
7840,0.000090
7850,0.000090
7860,0.000090
7870,0.000090
7880,0.000080
7890,0.000080
7900,0.000090
7910,0.000090
7920,0.000080
7930,0.000090
7940,0.000090
7950,0.000090
7960,0.000090
7970,0.000090
7980,0.000090
7990,0.000090
8000,0.000090
8010,0.000100
8020,0.000090
8030,0.000100
8040,0.000090
8050,0.000110
8060,0.000100
8070,0.000130
8080,0.000100
8090,0.000090
8100,0.000080
8110,0.000080
8120,0.000080
8130,0.000090
8140,0.000090
8150,0.000090
8160,0.000100
8170,0.000080
8180,0.000100
8190,0.000120
8200,0.000080
8210,0.000080
8220,0.000080
8230,0.000080
8240,0.000080
8250,0.000090
8260,0.000090
8270,0.000090
8280,0.000090
8290,0.000090
8300,0.000130
8310,0.000090
8320,0.000090
8330,0.000090
8340,0.000100
8350,0.000100
8360,0.000130
8370,0.000100
8380,0.000090
8390,0.000100
8400,0.000090
8410,0.000090
8420,0.000090
8430,0.000100
8440,0.000090
8450,0.000090
8460,0.000090
8470,0.000090
8480,0.000090
8490,0.000090
8500,0.000110
8510,0.000110
8520,0.000100
8530,0.000100
8540,0.000100
8550,0.000090
8560,0.000090
8570,0.000100
8580,0.000130
8590,0.000090
8600,0.000090
8610,0.000090
8620,0.000090
8630,0.000100
8640,0.000110
8650,0.000110
8660,0.000100
8670,0.000110
8680,0.000090
8690,0.000120
8700,0.000100
8710,0.000090
8720,0.000110
8730,0.000100
8740,0.000100
8750,0.000100
8760,0.000110
8770,0.000130
8780,0.000110
8790,0.000090
8800,0.000100
8810,0.000110
8820,0.000100
8830,0.000100
8840,0.000110
8850,0.000100
8860,0.000100
8870,0.000100
8880,0.000100
8890,0.000090
8900,0.000100
8910,0.000110
8920,0.000130
8930,0.000110
8940,0.000110
8950,0.000100
8960,0.000100
8970,0.000130
8980,0.000120
8990,0.000120
9000,0.000090
9010,0.000100
9020,0.000100
9030,0.000100
9040,0.000110
9050,0.000100
9060,0.000100
9070,0.000110
9080,0.000090
9090,0.000110
9100,0.000110
9110,0.000110
9120,0.000110
9130,0.000110
9140,0.000100
9150,0.000110
9160,0.000100
9170,0.000110
9180,0.000110
9190,0.000120
9200,0.000110
9210,0.000100
9220,0.000120
9230,0.000110
9240,0.000100
9250,0.000140
9260,0.000100
9270,0.000100
9280,0.000100
9290,0.000190
9300,0.000120
9310,0.000110
9320,0.000110
9330,0.000110
9340,0.000120
9350,0.000110
9360,0.000220
9370,0.000180
9380,0.000160
9390,0.000110
9400,0.000140
9410,0.000110
9420,0.000150
9430,0.000120
9440,0.000140
9450,0.000120
9460,0.000120
9470,0.000120
9480,0.000110
9490,0.000160
9500,0.000120
9510,0.000100
9520,0.000110
9530,0.000110
9540,0.000110
9550,0.000120
9560,0.000110
9570,0.000110
9580,0.000120
9590,0.000110
9600,0.000120
9610,0.000130
9620,0.000100
9630,0.000130
9640,0.000160
9650,0.000110
9660,0.000120
9670,0.000110
9680,0.000130
9690,0.000150
9700,0.000110
9710,0.000100
9720,0.000110
9730,0.000120
9740,0.000140
9750,0.000110
9760,0.000170
9770,0.000100
9780,0.000120
9790,0.000130
9800,0.000120
9810,0.000120
9820,0.000120
9830,0.000100
9840,0.000150
9850,0.000120
9860,0.000130
9870,0.000170
9880,0.000140
9890,0.000110
9900,0.000110
9910,0.000120
9920,0.000120
9930,0.000120
9940,0.000120
9950,0.000130
9960,0.000120
9970,0.000110
9980,0.000160
9990,0.000130
10000,0.000130
