Test Case,Average Runtime
644,0.000003
645,0.000003
646,0.000003
647,0.000003
648,0.000003
649,0.000003
650,0.000003
651,0.000003
652,0.000004
653,0.000004
654,0.000004
655,0.000004
656,0.000005
657,0.000005
658,0.000004
659,0.000005
660,0.000004
661,0.000004
662,0.000004
663,0.000004
664,0.000004
665,0.000004
666,0.000004
667,0.000000
668,0.000002
669,0.000003
670,0.000004
671,0.000003
672,0.000003
673,0.000003
674,0.000003
675,0.000003
676,0.000003
677,0.000003
678,0.000003
679,0.000003
680,0.000003
681,0.000003
682,0.000003
683,0.000003
684,0.000003
685,0.000003
686,0.000003
687,0.000003
688,0.000003
689,0.000003
690,0.000003
691,0.000003
692,0.000003
693,0.000003
694,0.000003
695,0.000003
696,0.000003
697,0.000003
698,0.000003
699,0.000003
700,0.000003
701,0.000003
702,0.000003
703,0.000003
704,0.000003
705,0.000003
706,0.000003
707,0.000003
708,0.000003
709,0.000003
710,0.000003
711,0.000003
712,0.000003
713,0.000003
714,0.000003
715,0.000003
716,0.000003
717,0.000003
718,0.000003
719,0.000003
720,0.000003
721,0.000003
722,0.000003
723,0.000003
724,0.000003
725,0.000003
726,0.000003
727,0.000003
728,0.000003
729,0.000003
730,0.000003
731,0.000003
732,0.000003
733,0.000003
734,0.000003
735,0.000003
736,0.000003
737,0.000003
738,0.000003
739,0.000003
740,0.000003
741,0.000003
742,0.000003
743,0.000003
744,0.000003
745,0.000003
746,0.000003
747,0.000003
748,0.000003
749,0.000003
750,0.000003
751,0.000003
752,0.000003
753,0.000003
754,0.000003
755,0.000003
756,0.000003
757,0.000003
758,0.000003
759,0.000003
760,0.000003
761,0.000003
762,0.000003
763,0.000003
764,0.000003
765,0.000005
766,0.000004
767,0.000005
768,0.000004
769,0.000004
770,0.000004
771,0.000005
772,0.000004
773,0.000004
774,0.000005
775,0.000004
776,0.000004
777,0.000004
778,0.000003
779,0.000003
780,0.000003
781,0.000003
782,0.000003
783,0.000004
784,0.000003
785,0.000003
786,0.000003
787,0.000003
788,0.000003
789,0.000003
790,0.000003
791,0.000003
792,0.000003
793,0.000003
794,0.000003
795,0.000003
796,0.000003
797,0.000003
798,0.000003
799,0.000003
800,0.000003
801,0.000003
802,0.000003
803,0.000003
804,0.000003
805,0.000003
806,0.000003
807,0.000001
808,0.000002
809,0.000005
810,0.000005
811,0.000005
812,0.000005
813,0.000005
814,0.000005
815,0.000005
816,0.000004
817,0.000005
818,0.000005
819,0.000004
820,0.000005
821,0.000005
822,0.000003
823,0.000003
824,0.000003
825,0.000003
826,0.000003
827,0.000003
828,0.000003
829,0.000003
830,0.000003
831,0.000003
832,0.000003
833,0.000003
834,0.000003
835,0.000003
836,0.000003
837,0.000003
838,0.000003
839,0.000003
840,0.000003
841,0.000003
842,0.000003
843,0.000003
844,0.000003
845,0.000005
846,0.000003
847,0.000003
848,0.000003
849,0.000007
850,0.000003
851,0.000003
852,0.000003
853,0.000003
854,0.000003
855,0.000003
856,0.000003
857,0.000003
858,0.000003
859,0.000003
860,0.000003
861,0.000003
862,0.000003
863,0.000003
864,0.000003
865,0.000003
866,0.000003
867,0.000003
868,0.000003
869,0.000003
870,0.000003
871,0.000003
872,0.000003
873,0.000003
874,0.000003
875,0.000003
876,0.000003
877,0.000001
878,0.000003
879,0.000003
880,0.000003
881,0.000003
882,0.000003
883,0.000003
884,0.000003
885,0.000003
886,0.000003
887,0.000003
888,0.000003
889,0.000003
890,0.000003
891,0.000002
892,0.000003
893,0.000004
894,0.000003
895,0.000003
896,0.000003
897,0.000003
898,0.000002
899,0.000003
900,0.000003
901,0.000003
902,0.000003
903,0.000003
904,0.000003
905,0.000003
906,0.000003
907,0.000003
908,0.000003
909,0.000003
910,0.000003
911,0.000003
912,0.000003
913,0.000003
914,0.000003
915,0.000003
916,0.000003
917,0.000003
918,0.000003
919,0.000003
920,0.000004
921,0.000003
922,0.000003
923,0.000003
924,0.000003
925,0.000003
926,0.000003
927,0.000003
928,0.000003
929,0.000003
930,0.000003
931,0.000003
932,0.000003
933,0.000003
934,0.000003
935,0.000003
936,0.000003
937,0.000003
938,0.000003
939,0.000002
940,0.000004
941,0.000004
942,0.000005
943,0.000004
944,0.000004
945,0.000005
946,0.000004
947,0.000004
948,0.000005
949,0.000001
950,0.000004
951,0.000005
952,0.000005
953,0.000004
954,0.000005
955,0.000004
956,0.000004
957,0.000004
958,0.000004
959,0.000004
960,0.000004
961,0.000004
962,0.000004
963,0.000003
964,0.000003
965,0.000003
966,0.000002
967,0.000003
968,0.000003
969,0.000003
970,0.000003
971,0.000003
972,0.000003
973,0.000003
974,0.000003
975,0.000003
976,0.000003
977,0.000003
978,0.000004
979,0.000003
980,0.000003
981,0.000003
982,0.000003
983,0.000003
984,0.000003
985,0.000003
986,0.000003
987,0.000003
988,0.000003
989,0.000003
990,0.000003
991,0.000003
992,0.000003
993,0.000003
994,0.000003
995,0.000003
996,0.000003
997,0.000002
998,0.000003
999,0.000003
1000,0.000003
